trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-171.56268198872533,"{0: 14, 1: 2, 2: 4, 3: 3, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",30,0,-237.1590725470824,"{0: 12, 1: 4, 2: 9, 3: 3, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-157.47244536737213,"{0: 10, 1: 4, 2: 9, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-94.83234691609303,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-15.530987134844873,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",30,1,-116.08442987824665,"{0: 18, 1: 2, 2: 5, 3: 4, 4: 0}",1
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-83.39562671336115,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-68.99444662955952,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-52.03640570830343,"{0: 11, 1: 4, 2: 5, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,0,-121.05949003845762,"{0: 19, 1: 0, 2: 1, 3: 3, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,0,-70.93711340664157,"{0: 19, 1: 0, 2: 4, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",30,8,-81.69071007135962,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 2}",1
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-42.35631803882875,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,0,-48.5334508778051,"{0: 21, 1: 1, 2: 1, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",30,12,-9.801090383043597,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,10,3.2929798323363038,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,9,-14.665723244561214,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,0,-28.11999636004438,"{0: 21, 1: 0, 2: 2, 3: 2, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,6,-62.68889514098979,"{0: 11, 1: 0, 2: 0, 3: 2, 4: 1}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,10,19.5506022540241,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",20,0,30.341035624096527,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",20,0,-58.11717956602028,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 2}",0
3,True,"{'a': 0, 'e': 0}",35,4,-30.53748897780669,"{0: 28, 1: 0, 2: 1, 3: 1, 4: 1}",1
4,True,"{'a': 0, 'e': 0}",20,6,-18.826709928632393,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
5,True,"{'a': 0, 'e': 0}",25,13,-14.687951557166624,"{0: 10, 1: 0, 2: 1, 3: 1, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",35,19,-55.190507390692815,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 2}",1
7,True,"{'a': 0, 'e': 0}",30,17,-25.11298229749279,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 1}",1
8,True,"{'a': 0, 'e': 0}",25,13,-43.154185861065436,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 1}",1
9,True,"{'a': 0, 'e': 0}",25,0,-5.364114238479922,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
10,True,"{'a': 0, 'e': 0}",20,14,13.473438092040134,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
