trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9900498337491681}",20,0,-59.00080948652561,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.9801986733067553}",20,0,-75.62488901489573,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.9704455335485082}",30,0,-129.4961464140864,"{0: 16, 1: 3, 2: 10, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.9607894391523232}",20,0,-131.21324328731814,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.951229424500714}",30,0,-122.8162474044589,"{0: 19, 1: 6, 2: 2, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.9417645335842487}",25,11,-122.35195124739616,"{0: 6, 1: 2, 2: 4, 3: 0, 4: 2}",1
7,False,"{'a': 0.5, 'e': 0.9323938199059483}",20,0,-103.41211668864922,"{0: 9, 1: 4, 2: 5, 3: 2, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.9231163463866358}",20,5,-53.12908508471655,"{0: 8, 1: 1, 2: 6, 3: 0, 4: 0}",1
9,False,"{'a': 0.5, 'e': 0.9139311852712282}",25,0,-100.59418349987737,"{0: 15, 1: 3, 2: 6, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.9048374180359595}",25,0,-242.39555921355407,"{0: 12, 1: 2, 2: 5, 3: 2, 4: 4}",0
11,False,"{'a': 0.5, 'e': 0.8958341352965282}",30,0,-89.24275559202796,"{0: 21, 1: 4, 2: 3, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.8869204367171575}",20,0,-86.22312904407781,"{0: 9, 1: 3, 2: 8, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.8780954309205613}",30,12,-127.80816267905693,"{0: 9, 1: 4, 2: 2, 3: 1, 4: 2}",1
14,False,"{'a': 0.5, 'e': 0.8693582353988059}",25,0,-102.73608750441362,"{0: 16, 1: 1, 2: 7, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.8607079764250578}",25,0,-103.16106713008683,"{0: 15, 1: 6, 2: 1, 3: 2, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.8521437889662113}",20,0,-53.5066850381916,"{0: 12, 1: 1, 2: 7, 3: 0, 4: 0}",0
